codigo,descricao,is_st,is_transferencia
2206,ANULACAO DE VALOR RELATIVO A PRESTACAO DE SERVICO DE TRANSPO,False,False
2207,ANULACAO DE VALOR RELATIVO A VENDA DE ENERGIA ELETRICA,False,False
2208,ENTRADA DE BEM POR CONTRATO DE COMODATO,False,False
2209,"DEVOLUCAO DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,",False,False
2250,COMPRAS DE ENERGIA ELETRICA,False,False
2251,COMPRA DE ENERGIA ELETRICA PARA DISTRIBUICAO OU COMERCIALIZA,False,False
2252,COMPRA DE ENERGIA ELETRICA POR ESTABELECIMENTO INDUSTRIAL,False,False
2253,COMPRA DE ENERGIA ELETRICA POR ESTABELECIMENTO COMERCIAL,False,False
2254,COMPRA ENERGIA ELETRICA POR ESTABEL. PRESTADOR SERVICO TRANS,False,False
2255,COMPRA ENERGIA ELETRICA POR ESTABEL. PRESTADOR DE SERVICO DE,False,False
2256,COMPRA ENERGIA ELETRICA POR ESTABEL.DE PRODUTOR RURAL,False,False
2257,COMPRA ENERGIA ELETRICA PARA CONSUMO POR DEMANDA CONTRATADA,False,False
2300,AQUISICOES DE SERVICOS DE COMUNICACAO,False,False
2301,AQUISICAO DE SERVICO DE COMUNICACAO PARA EXECUCAO DE SERVICO,False,False
2302,AQUISICAO DE SERVICO DE COMUNICACAO POR ESTABELECIMENTO INDU,False,False
2303,AQUISICAO DE SERVICO DE COMUNICACAO POR ESTABELECIMENTO COME,False,False
2304,AQUISICAO DE SERVICO DE COMUNICACAO POR ESTABELECIMENTO DE P,False,False
2305,AQUISICAO DE SERVICO DE COMUNICACAO POR ESTABELECIMENTO DE G,False,False
2306,AQUISICAO DE SERVICO DE COMUNICACAO POR ESTABELECIMENTO DE P,False,False
2350,AQUISICOES DE SERVICOS DE TRANSPORTE,False,False
2351,AQUISICAO DE SERVICO DE TRANSPORTE PARA EXECUCAO DE SERVICO,False,False
2352,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO INDUS,False,False
2353,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO COMER,False,False
2354,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO DE PR,False,False
2355,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO DE G,False,False
2356,AQUISICAO DE SERVICO DE TRANSPORTE POR ESTABELECIMENTO DE PR,False,False
2400,ENTRADAS DE MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUICAO T,False,False
2401,COMPRA PARA INDUSTRIALIZACAO EM OPERACAO COM MERCADORIA SUJE,False,False
2403,COMPRA DE MERCADORIA SUJEITA AO REGIME DE S.T.,True,False
2406,COMPRA DE BEM PARA O ATIVO IMOBILIZADO CUJA MERCADORIA ESTA,False,False
